rot,rot_clean,action,situation,ssl_domain,agreement_condition,rot-agree,action-moral-judgment,agreement_label,area,domain_correct,valid,notes,diversity_score
It's bad to do things that are disgusting.,It's bad to do things that are disgusting.,doing things that are disgusting.,My brothers best friend masturbated in my room when I was 14 and asleep,moral,high_agreement,3,-1,75-90%,confessions,1,1,,0.8220577
It is rude to tow an elderly persons car out of annoyance.,It is rude to tow an elderly persons car out of annoyance.,towing an elderly persons car out of annoyance.,having an old man's car towed in the middle of winter,moral,high_agreement,3,-1,75-90%,amitheasshole,1,1,,0.8220577
It is understandable to be upset if your significant other is thinking of someone else.,It is understandable to be upset if your significant other is thinking of someone else.,being upset when your significant other is thinking of someone else.,thinking of a new relationship before the old one has ended,moral,high_agreement,4,0,>99%,amitheasshole,1,1,,0.8220577
It's good to raise awareness for certain medical diseases.,It's good to raise awareness for certain medical diseases.,raising awareness for certain medical diseases.,Survivor of Ovarian Cancer Speaks Out on 'Silent Killer',moral,high_agreement,3,1,75-90%,dearabby,1,1,,0.8220577
You have the right to tell your parent not to do drugs while taking care of your kids.,You have the right to tell your parent not to do drugs while taking care of your kids.,telling your parent not to do drugs while taking care of your kids.,telling my mom she cannot be under the influence of weed while caring for my young child,moral,high_agreement,4,2,>99%,amitheasshole,1,1,,0.8220577
It's bad to be a terrorist.,It's bad to be a terrorist.,being a terrorist.,I took an Islamic terrorist’s life,moral,high_agreement,3,-2,75-90%,confessions,1,1,,0.8220577
It's wrong to cheat on others.,It's wrong to cheat on others.,Cheating on others.,taking advantage of my girlfriend after she cheated on me,moral,high_agreement,4,-1,>99%,amitheasshole,1,1,,0.8220577
It's good to adopt children with no home.,It's good to adopt children with no home.,adopting children with no home.,Boy Given Up for Adoption Returns to Mixed Welcome,moral,high_agreement,4,2,>99%,dearabby,1,1,,0.8220577
It's bad to cheat on a spouse.,It's bad to cheat on a spouse.,cheating on a spouse.,Married &amp; going crazy over another woman,moral,high_agreement,3,-1,75-90%,confessions,1,1,,0.8220577
It is good to admit when you are wrong.,It is good to admit when you are wrong.,admitting when you are wrong.,"I am not really a bigot, but maybe I am, I don't know. Hopefully I am not",moral,high_agreement,3,1,75-90%,confessions,1,1,,0.8220577
It's wrong to relay a message you have taken for another person.,It's wrong to relay a message you have taken for another person.,relaying a message you have taken for another person.,forgetting to tell my dad his family tried to contact him,moral,low_agreement,0,-1,<1%,amitheasshole,1,1,,0.8632337
You shouldn't call the cops on people who park illegally.,You shouldn't call the cops on people who park illegally.,calling the cops on people who park illegally.,calling the cops on a gas car in an electric charging spot,moral,low_agreement,1,-1,5-25%,amitheasshole,1,1,,0.8632337
It's selfish to expect your husband to give you his entire estate.,It's selfish to expect your husband to give you his entire estate.,expecting your husband to give you his entire estate.,Bride Planning for Her Future Wants All of Husband's Estate,moral,low_agreement,1,-1,5-25%,dearabby,1,1,,0.8632337
It's wrong to have fantasies about dating autistic people.,It's wrong to have fantasies about dating autistic people.,having fantasies about dating autistic people.,"a celebrity i admire says she has asperger's. and because of that, i check out youtube vids on autism in women and secretly imagine dating them.",moral,low_agreement,0,-1,<1%,confessions,1,1,,0.8632337
It's wrong to delete your confessions.,It's wrong to delete your confessions.,deleting your confessions.,am going to delete after i post it i just want to get this out,moral,low_agreement,1,-1,5-25%,confessions,1,1,,0.8632337
Parents should involve children in their problems,Parents should involve children in their problems.,involving your children in your problems,I'm so tired of paying for my parents failed relationship,moral,low_agreement,1,0,5-25%,confessions,1,1,,0.8632337
It is selfish to not want a family.,It is selfish to not want a family.,not wanting a family.,not even bothering to entertain the idea of having kids,moral,low_agreement,1,-1,5-25%,amitheasshole,1,1,,0.8632337
It's understandable if you use a customer's deposit to pay your shareholders' dividends.,It's understandable if you use a customer's deposit to pay your shareholders' dividends.,using a customer's deposit to pay your shareholders' dividends.,Couple's Return of Deposit Pays Dividends to Others,moral,low_agreement,1,0,5-25%,dearabby,1,1,,0.8632337
People should be pure until they get married.,People should be pure until they get married.,being pure until you get married.,I sometimes dream about having a wholesome girlfriend.,moral,low_agreement,1,0,5-25%,confessions,1,1,,0.8632337
You can't expect your kids to be there for you during surgery.,You can't expect your kids to be there for you during surgery.,expecting your kids to be there for you during surgery.,not being at the hospital for my dad the moment of heart surgery,moral,low_agreement,1,-1,5-25%,amitheasshole,1,1,,0.8632337
It's good to get as much as you can out of your employer,It's good to get as much as you can out of your employer.,getting as much as you can out of your employer,I don't pay for water at work,moral,medium_agreement,2,0,50%,confessions,1,1,,0.8875184
You should be willing to help someone who is having mental problems.,You should be willing to help someone who is having mental problems.,helping someone who is having mental problems.,dumping a mentally ill girl,moral,medium_agreement,2,2,50%,amitheasshole,1,1,,0.8875184
It's okay to drink responsibly.,It's okay to drink responsibly.,drinking responsibly.,He decided to end his day with a visit to the bar.,moral,medium_agreement,2,0,50%,rocstories,1,1,,0.8875184
It's okay to be uncomfortable with your partner's behavior.,It's okay to be uncomfortable with your partner's behavior.,being uncomfortable with your partner's behavior.,being uncomfortable with my girlfriend hanging out with a guy friend she used to have a thing with,moral,medium_agreement,2,0,50%,amitheasshole,1,1,,0.8875184
It is smart to teach your children martial arts for protection.,It is smart to teach your children martial arts for protection.,teaching your children martial arts for protection,One day his mom enrolled him in Kendo.,moral,medium_agreement,2,0,50%,rocstories,1,1,,0.8875184
You should trust your partner's friends.,You should trust your partner's friends.,Trusting your partner's friends.,wanting to remain friends with a female friend that my GF does not trust,moral,medium_agreement,2,1,50%,amitheasshole,1,1,,0.8875184
People are expected to boycott companies who make social choices they don't agree with.,People are expected to boycott companies who make social choices they don't agree with.,people boycotting companies who make social choices they don't agree with.,eating Chick-fil-a despite being supportive of the LGBT+ community,moral,medium_agreement,2,0,50%,amitheasshole,1,1,,0.8875184
People might think you're a perv if you're into really older people.,People might think you're a perv if you're into really older people.,thinking you're a perv when you're into really older people.,I like older guys,moral,medium_agreement,2,0,50%,confessions,1,1,,0.8875184
It is rude to contradict yourself after saying something kind.,It is rude to contradict yourself after saying something kind.,contradicting yourself after saying something kind.,"I love my wife more than anything on earth, but...",moral,medium_agreement,2,-1,50%,confessions,1,1,,0.8875184
You shouldn't spend time with old flings if you're in a relationship.,You shouldn't spend time with old flings if you're in a relationship.,spending time with old flings if you're in a relationship.,not being cool with my boyfriend staying with his old fwb,moral,medium_agreement,2,-1,50%,amitheasshole,1,1,,0.8875184
It's ok to say no if a friend asks for money.,It's ok to say no if a friend asks for money.,saying no if a friend asks for money.,"I financially supported my best friend, I lost my debit card and now hes moving out.",personal-psychological,high_agreement,3,0,75-90%,confessions,1,1,,0.83684283
It's okay to feel calmer after writing down your thoughts.,It's okay to feel calmer after writing down your thoughts.,feeling calmer after writing down your thoughts.,I tried opening notepad and write whatever came to mind,personal-psychological,high_agreement,3,0,75-90%,confessions,1,1,,0.83684283
It's bad to let your friend drink toilet water.,It's bad to let your friend drink toilet water.,letting your friend drink toilet water.,i let my friend drink toilet water,personal-psychological,high_agreement,3,-1,75-90%,confessions,1,1,,0.83684283
It's good to want to honor your vows with your spouse.,It's good to want to honor your vows with your spouse.,wanting to honor your vows with your spouse,Marriage to Longtime Abuser Had Lasting Effect on Kids,personal-psychological,high_agreement,4,1,>99%,dearabby,1,1,,0.83684283
You should get some therapy if your parent just passed away.,You should get some therapy if your parent just passed away.,getting some therapy if your parent just passed away.,My dad died today. I'm not sad.,personal-psychological,high_agreement,3,1,75-90%,confessions,1,1,,0.83684283
It is important to have time to your self.,It is important to have time to your self.,having time to your self.,wanting to go out with my friends even though Im a married mom,personal-psychological,high_agreement,4,0,>99%,amitheasshole,1,1,,0.83684283
It's understandable to be upset if your friend pays more attention to his girlfriend than you.,It's understandable to be upset if your friend pays more attention to his girlfriend than you.,being upset if your friend pays more attention to his girlfriend than you.,getting a little upset every time my best friend and his girlfriend hang out with me,personal-psychological,high_agreement,3,0,75-90%,amitheasshole,1,1,,0.83684283
You should mind your own business.,You should mind your own business.,minding your own business.,telling some Contractor to fuck off and mind his own business,personal-psychological,high_agreement,3,0,75-90%,amitheasshole,1,1,,0.83684283
You should communicate with your spouse when you're tired of watching sports.,You should communicate with your spouse when you're tired of watching sports.,communicating with your spouse when you're tired of watching sports.,Compromise Is Best Game Plan for Marriage to Sports Fanatic,personal-psychological,high_agreement,3,0,75-90%,dearabby,1,1,,0.83684283
You shouldn't hurt a girl's feelings if they like you.,You shouldn't hurt a girl's feelings if they like you.,hurting a girl's feelings when they like you.,I made a girl who had a crush on me drop out of school after calling her fat.,personal-psychological,high_agreement,4,-2,>99%,confessions,1,1,,0.83684283
You don't have to do anything with your girlfriend that you don't want to do.,You don't have to do anything with your girlfriend that you don't want to do.,having to do anything with your girlfriend that you don't want to do,not playing Minecraft with my girlfriend,personal-psychological,low_agreement,1,-1,5-25%,amitheasshole,1,1,,0.86051255
It's good to buy unique and different things to differentiate yourself from others.,It's good to buy unique and different things to differentiate yourself from others.,buying unique and different things to differentiate yourself from others.,He bought a unique mouse and improved his work speed.,personal-psychological,low_agreement,1,1,5-25%,rocstories,1,1,,0.86051255
You should involve yourself in your friend's   romantic relationships.,You should involve yourself in your friend's romantic relationships.,involving yourself in your friend's   romantic relationships.,blabbing about a buddy's lies to his GF,personal-psychological,low_agreement,1,0,5-25%,amitheasshole,1,1,,0.86051255
You should always try to mediate your parent's arguments.,You should always try to mediate your parent's arguments.,trying to mediate your parent's arguments.,Adult Should Play The Peacemaker In Parents' Ongoing War,personal-psychological,low_agreement,1,1,5-25%,dearabby,1,1,,0.86051255
It's not okay to still have feelings for your ex.,It's not okay to still have feelings for your ex.,still having feelings for your ex.,I miss my old girlfriend...,personal-psychological,low_agreement,1,-1,5-25%,confessions,1,1,,0.86051255
It's good to keep a personal journal.,It's good to keep a personal journal.,keeping a personal journal.,Kenji closed his journal with a sigh of relief.,personal-psychological,low_agreement,1,1,5-25%,rocstories,1,1,,0.86051255
You should find a place online to let out your feelings.,You should find a place online to let out your feelings.,Finding a place online to let out your feelings.,Just need an outlet,personal-psychological,low_agreement,1,1,5-25%,confessions,1,1,,0.86051255
You should keep your inner child on a leash.,You should keep your inner child on a leash.,keeping your inner child on a leash,Unleashing my inner child,personal-psychological,low_agreement,1,0,5-25%,confessions,1,1,,0.86051255
It's bad to be too close to your sibling.,It's bad to be too close to your sibling.,being too close to your sibling.,Mother of Twin Boys Worries They're Too Close for Comfort,personal-psychological,low_agreement,1,-1,5-25%,dearabby,1,1,,0.86051255
It's good to get unique things so you impress others.,It's good to get unique things so you impress others.,getting unique things so you impress others.,Cathy wanted a unique centerpiece for her wedding.,personal-psychological,low_agreement,1,0,5-25%,rocstories,1,1,,0.86051255
It's good to show emotions in one's life.,It's good to show emotions in one's life.,showing emotions in one's life.,I've pumped enough self-doubt in my mind I'm impervious to personal emotion.,personal-psychological,medium_agreement,2,0,50%,confessions,1,1,,0.83757365
You don't have to have a religion just because you're a child.,You don't have to have a religion just because you're a child.,having a religion just because you're a child,I'm an atheist but I'm only 12,personal-psychological,medium_agreement,2,0,50%,confessions,1,1,,0.83757365
You shouldn't buy a pet for your child just because they beg you.,You shouldn't buy a pet for your child just because they beg you.,buying a pet for your child just because they beg you.,Bea begged her mom for a puppy.,personal-psychological,medium_agreement,2,-1,50%,rocstories,1,1,,0.83757365
It's good to speak your mind.,It's good to speak your mind.,speaking your mind.,"I hate writing “thank you” notes. The resources used to make these notes could be used elsewhere. Every time I’ve received a thank you note, I’ve been disappointed.",personal-psychological,medium_agreement,2,0,50%,confessions,1,1,,0.83757365
You should learn to like your parent's friends.,You should learn to like your parent's friends.,learning to like your parent's friends.,asking my mom's best friend not to visit her anymore,personal-psychological,medium_agreement,2,0,50%,amitheasshole,1,1,,0.83757365
It's encouraged you see a therapist if you have low self esteem,It's encouraged you see a therapist if you have low self esteem.,seeing a therapist if you have low self esteem,In 21f and I feel like a failure.,personal-psychological,medium_agreement,2,1,50%,confessions,1,1,,0.83757365
It's wrong to hire an unqualified employee.,It's wrong to hire an unqualified employee.,hiring an unqualified employee.,I'm not qualified for my job,personal-psychological,medium_agreement,2,-1,50%,confessions,1,1,,0.83757365
It's wrong to date your friend's cousin.,It's wrong to date your friend's cousin.,dating your friend's cousin.,dating my friend's cousin,personal-psychological,medium_agreement,2,0,50%,amitheasshole,1,1,,0.83757365
You should trust your gut feelings.,You should trust your gut feelings.,trusting your gut feelings.,He soon realized that he must be allergic to shrimp.,personal-psychological,medium_agreement,2,0,50%,rocstories,1,1,,0.83757365
Informing a partners mom to stay out of your relationship can help inform them on how you feel about their actions and start a discussion.,Informing a partners mom to stay out of your relationship can help inform them on how you feel about their actions and start a discussion.,informing a partners mom to stay out of your relationship,telling my girlfreind's mother to butt out of our relationship,personal-psychological,medium_agreement,2,1,50%,amitheasshole,1,1,,0.83757365
It is okay to want to shop in peace.,It is okay to want to shop in peace.,wanting to shop in peace.,telling a furniture salesmen I just wanted to look around the store,societal-conventional,high_agreement,3,0,75-90%,amitheasshole,1,1,,0.8805428
You should always share your interests with your friends.,You should always share your interests with your friends.,always sharing your interests with your friends.,"Since he never shared his hobby with his peers before, he was nervous.",societal-conventional,high_agreement,3,0,75-90%,rocstories,1,1,,0.8805428
Parents are expected to be available to help their children.,Parents are expected to be available to help their children.,Parents being available to help their children.,Just then her mom appeared in the door smiling and asked her to help.,societal-conventional,high_agreement,3,0,75-90%,rocstories,1,1,,0.8805428
It's responsible to take part in rearing a younger sibling.,It's responsible to take part in rearing a younger sibling.,taking part in rearing a younger sibling.,not wanting to get my baby sister to sleep every night,societal-conventional,high_agreement,3,1,75-90%,amitheasshole,1,1,,0.8805428
It's expected that children grow up well with good upbringing.,It's expected that children grow up well with good upbringing.,children growing up well with good upbringing.,Investing Time With Youth Pays Off With Huge Returns,societal-conventional,high_agreement,3,0,75-90%,dearabby,1,1,,0.8805428
People should take as long as they need to process a loss.,People should take as long as they need to process a loss.,People taking as long as they need to process a loss.,Just lost a life long friend,societal-conventional,high_agreement,3,1,75-90%,confessions,1,1,,0.8805428
It is expected to ask for permission before using something that is not yours.,It is expected to ask for permission before using something that is not yours.,asking for permission before using something that is not yours.,telling my roommate to stop using my body Wash,societal-conventional,high_agreement,4,0,>99%,amitheasshole,1,1,,0.8805428
It is uncouth to defecate in public.,It is uncouth to defecate in public.,defecating in public in public.,Peeing in ponds and stealing a partially blind person's money.,societal-conventional,high_agreement,4,-1,>99%,confessions,1,1,,0.8805428
It's fine to react to things in any way you like.,It's fine to react to things in any way you like.,reacting to things in any way you like.,I feel like tearing up whenever I smell candles,societal-conventional,high_agreement,3,0,75-90%,confessions,1,1,,0.8805428
You shouldn't call an older cat a kitten.,You shouldn't call an older cat a kitten.,calling an older cat a kitten.,I have been in a relationship with my kitten for about 17 years.,societal-conventional,high_agreement,3,-1,75-90%,confessions,1,1,,0.8805428
It is ok to break up with someone if they want you to give up your dog.,It is ok to break up with someone if they want you to give up your dog.,breaking up with someone if they want you to give up your dog.,asking my fiancee to give up his dog for my cat's sake,societal-conventional,low_agreement,1,0,5-25%,amitheasshole,1,1,,0.89919543
It's weird to drink from a bottle when you can use cups.,It's weird to drink from a bottle when you can use cups.,drinking from a bottle when you can use cups.,I stopped drinking powdered milk from a bottle at age 9,societal-conventional,low_agreement,1,-1,5-25%,confessions,1,1,,0.89919543
You're expected to wear dark colors to another person's wedding.,You're expected to wear dark colors to another person's wedding.,wearing dark colors to another person's wedding.,Black Is Becoming Basic for Guests at Weddings,societal-conventional,low_agreement,1,0,5-25%,dearabby,1,1,,0.89919543
You shouldn't insist your partner do things.,You shouldn't insist your partner do things.,insisting your partner do things.,My wife insisted I would need a short-term organizational strategy.,societal-conventional,low_agreement,1,-1,5-25%,rocstories,1,1,,0.89919543
It's normal for people to want to protest unjust actions by their governments.,It's normal for people to want to protest unjust actions by their governments.,wanting to protest unjust government actions.,Non-Autocratic Governments Should Work With gaming Companies To Flood Chinese Markets With Illegal Copies If They Censor Games,societal-conventional,low_agreement,1,0,5-25%,confessions,1,1,,0.89919543
You should appreciate someone with good fashion sense.,You should appreciate someone with good fashion sense.,appreciating someone with good fashion sense.,Sometimes Joe dresses in his suits.,societal-conventional,low_agreement,1,0,5-25%,rocstories,1,1,,0.89919543
Women are expected to support the feminist movement.,Women are expected to support the feminist movement.,supporting the feminist movement as a woman,"As a woman, I hate feminism",societal-conventional,low_agreement,1,0,5-25%,confessions,1,1,,0.89919543
It is normal to occasionally fall off a bike.,It is normal to occasionally fall off a bike.,occasionally falling off a bike.,Bill fell off his bike and twisted his arm.,societal-conventional,low_agreement,1,0,5-25%,rocstories,1,1,,0.89919543
It's understandable if you quit when you are scared to fail.,It's understandable if you quit when you are scared to fail.,quitting when you are scared to fail.,Finishing one small goal gives me so much satisfaction that I quit.,societal-conventional,low_agreement,1,0,5-25%,rocstories,1,1,,0.89919543
It's understandable to switch places with your identical twin for work.,It's understandable to switch places with your identical twin for work.,switching places with your identical twin for work.,My identical twin brother works my office job as if he were me.,societal-conventional,low_agreement,0,0,<1%,confessions,1,1,,0.89919543
It's acceptable to politely speak your mind at work.,It's acceptable to politely speak your mind at work.,politely speaking your mind at work.,telling my boss her MANDATORY meeting was offensive and undervalues her employees,societal-conventional,medium_agreement,2,0,50%,amitheasshole,1,1,,0.89777946
It is expected that you tip 10% for bad or regular service.,It is expected that you tip 10% for bad or regular service.,tipping 10% for bad or regular service.,"tipping 10% for bad to regular service, 15% for good service and 20% for extraordinary service",societal-conventional,medium_agreement,2,0,50%,amitheasshole,1,1,,0.89777946
It's fun to play with toys even if you're an adult.,It's fun to play with toys even if you're an adult.,playing with toys even if you're an adult.,I'm 40 years old and I just bought my first Lego set,societal-conventional,medium_agreement,2,1,50%,confessions,1,1,,0.89777946
It's expected that multiple generations of family will route for the same  sports team.,It's expected that multiple generations of family will root for the same sports team.,expecting that multiple generations of family will route for the same  sports team.,Dave and his father always went to the opening game together.,societal-conventional,medium_agreement,2,0,50%,rocstories,1,1,fixed root,0.89777946
Limiting contact with people is not bad.,Limiting contact with people is not bad.,Limiting contact with people,"wanting to stay away from people/""friends""",societal-conventional,medium_agreement,2,0,50%,amitheasshole,1,1,,0.89777946
It is expected that boys do not wear dresses.,It is expected that boys do not wear dresses.,boys wearing dresses.,I sent my 12 year old nephew to school in a dress to combat gender stereotypes and now my sister stopped talking to me and he doesn't want to go to school anymore. How can I convince her that I did the right thing?,societal-conventional,medium_agreement,2,0,50%,confessions,1,1,,0.89777946
It's best to be direct about your feelings with your spouse.,It's best to be direct about your feelings with your spouse.,being direct about your feelings with your spouse.,Man With Nose to Grindstone Can't See Wife's Unhappiness,societal-conventional,medium_agreement,2,1,50%,dearabby,1,1,,0.89777946
It's expected that alcohol will be consumed at parties.,It's expected that alcohol will be consumed at parties.,consuming alcohol at parties,"One time, at a party-in order to impress girls, I shot myself in the foot with a .22 caliber pistol",societal-conventional,medium_agreement,2,0,50%,confessions,1,1,,0.89777946
It's rude to take too long in the bathroom.,It's rude to take too long in the bathroom.,taking too long in the bathroom.,limiting someones toilet time,societal-conventional,medium_agreement,2,0,50%,amitheasshole,1,1,,0.89777946
Dating a co-worker could create conflicts of interest with your work and your boss.,Dating a co-worker could create conflicts of interest with your work and your boss.,dating a co-worker creating conflicts of interest with your work and your boss,I slept with my coworker and I'm pretty sure he hates me.,societal-conventional,medium_agreement,2,0,50%,confessions,1,1,,0.89777946
