social_chemistry_stimulus_rewrite,normbank_stimulus_rewrite,social_chemistry_stimulus,normbank_stimulus,domain,norm_label,idx
It's bad to dismiss someone when they're asking questions about how someone died.,Text your friends at an altar while honoring your ancestors,It's bad to dismiss someone when they're asking questions about how someone died.,text your friends at a altar where [PERSON]'s behavior is 'honoring your ancestors',moral,taboo,1
It can be seen as dishonest to go by a different gender.,Climb on things at a balloon festival while attempting to pop another person’s balloon,It can be seen as dishonest to go by a different gender.,climb on things at a balloon festival where [PERSON]'s behavior is 'attempt to pop another person's balloon',moral,taboo,2
It's wrong to know what death is really like.,Sell counterfeit goods at a market when you are an ice cream server,It's wrong to know what death is really like.,sell counterfeit goods at a market where [PERSON]'s role is 'ice cream server',moral,taboo,3
If you cannot get someone to remove you from a contract you are expected to call an attorney.,Sail by yourself on a boat when you are not competent with sailboats,If you cannot get someone to remove you from a contract you are expected to call an attorney.,sail by yourself at a boat where [PERSON]'s condition or state is not 'competent with sail boats',moral,taboo,4
It's wrong to have fantasies about dating autistic people.,Eat ice cream on an airplane when you are lactose intolerant,It's wrong to have fantasies about dating autistic people.,eat ice cream at a airplane where [PERSON]'s medical condition is 'lactose intolerance',moral,taboo,5
It's good to breed dogs.,Stop and help a stranded motorist on a country road when you are a pedestrian,It's good to breed dogs.,stop and help a stranded motorist at a country road where [PERSON]'s role is 'pedestrian',moral,normal,6
It's wrong to kill insects that are helpful to your plants.,Beg for food at a bakery while starving,It's wrong to kill insects that are helpful to your plants.,beg for food at a bakery where [PERSON]'s condition or state is 'starving',moral,normal,7
You have a right to think women are inferior if that's what you really believe.,Deprive the suspect of sleep in an interrogation room when you are an interrogator,You have a right to think women are inferior if that's what you really believe.,deprive the suspect of sleep at a interrogation room where [PERSON]'s role is 'interrogator',moral,normal,8
It's good to take responsibility for your mistakes.,Go to bed without taking your medication in a hotel room when you are a security guard,It's good to take responsibility for your mistakes.,go to bed without taking your medication at a hotel room where [PERSON]'s role is 'security guard',moral,normal,9
You should be friends with people with mental disabilities.,Kick someone in the head at a boxing hall when you are a fighter,You should be friends with people with mental disabilities.,kick someone in the head at a boxing hall where [PERSON]'s role is 'fighter',moral,normal,10
It's wrong to look at someone else's screen.,Beat an animal at a circus when you are an animal trainer,It's wrong to look at someone else's screen.,beat an animal at a circus where [PERSON]'s role is 'animal trainer',moral,expected,11
It is rude to control other people.,Wear sunscreen at a beach when you have skin cancer,It is rude to control other people.,wear sunscreen at a beach where [PERSON]'s medical condition is 'skin cancer',moral,expected,12
You should always give money to your church.,Climb out the window in an apartment while fleeing a fire,You should always give money to your church.,climb out the window at a apartment where [PERSON]'s behavior is 'fleeing a fire',moral,expected,13
It is wrong to not get someone help if they are going through serious depression.,Make faces on an airplane while in severe pain,It is wrong to not get someone help if they are going through serious depression.,make faces at a airplane where [PERSON]'s condition or state is 'in severe pain',moral,expected,14
You shouldn't date women you know will annoy your ex after a divorce.,Talk on the phone in a ballroom while reporting an emergency,You shouldn't date women you know will annoy your ex after a divorce.,talk on the phone at a ballroom where [PERSON]'s behavior is 'reporting an emergency',moral,expected,15
It's understandable if you order a lot of food when your parents take you out for dinner.,Bag the items at a gift shop when you are a store manager,It's understandable if you order a lot of food when your parents take you out for dinner.,bag the items at a gift shop where [PERSON]'s role is 'store manager',societal,taboo,16
It's expected that you divorce someone your are married to.,Take a book off the shelf at a bookstore when you are a toddler,It's expected that you divorce someone your are married to.,take a book off the shelf at a bookstore where [PERSON]'s age bracket is 'toddler',societal,taboo,17
It's rude not to give someone a place to stay when you can spare a room.,Put up a cross in an alcoholics ward when you are not Christian,It's rude not to give someone a place to stay when you can spare a room.,put up a cross at a alcoholics ward where [PERSON]'s religion is not 'christianity',societal,taboo,18
You shouldn't remove someone from your Netflix account when they've gotten accustomed to using it.,Cook food on a boat when you are the first mate,You shouldn't remove someone from your Netflix account when they've gotten accustomed to using it.,cook food at a boat where [PERSON]'s role is 'first mate',societal,taboo,19
You don't have to help out your parents if you don't feel like it.,Talk about politics in a cemetery while eating food,You don't have to help out your parents if you don't feel like it.,talk about politics at a cemetery where [PERSON]'s behavior is 'eat food',societal,taboo,20
You're discouraged from being intimate with someone you've divorced.,Wear a shirt at a beach when you are a beach cleaner,You're discouraged from being intimate with someone you've divorced.,wear a shirt at a beach where [PERSON]'s role is 'beach cleaner',societal,normal,21
It is bad to take a picture of someone without theie conesnt.,Wear leather in a gym when you are a personal trainer,It is bad to take a picture of someone without theie conesnt.,wear leather at a gym where [PERSON]'s role is 'personal trainer',societal,normal,22
You should always be honest with your wife.,"Play with your jewelry in a church while stressed, anxious, or low in mood",You should always be honest with your wife.,"play with your jewelry at a church or chapel where [PERSON]'s medical condition is 'stress, anxiety and low mood'",societal,normal,23
It's wrong to want your girlfriend to leave.,Dance at a ski resort when you are in housekeeping,It's wrong to want your girlfriend to leave.,dance at a ski resort where [PERSON]'s role is 'housekeeping',societal,normal,24
It's expected that siblings drift apart as they grow and move.,Chew on toys at a nursery when you are a toddler,It's expected that siblings drift apart as they grow and move.,chew on toys at a nursery where [PERSON]'s age bracket is 'toddler',societal,normal,25
It's good to stand up for your beliefs.,Celebrate holidays in a church on Easter,It's good to stand up for your beliefs.,celebrate holidays at a church or chapel where holiday or special day is 'easter',societal,expected,26
It's good to stay home while sick so you don't expose others to your illness.,Check the cars for safety violations at a racetrack when you are a racing official,It's good to stay home while sick so you don't expose others to your illness.,check the cars for safety violations at a racetrack where [PERSON]'s role is 'racing official',societal,expected,27
It's good to earn your own money.,Do yoga at a gym when you are a yogi,It's good to earn your own money.,do yoga at a gym where [PERSON]'s role is 'yogi',societal,expected,28
It's bad to hate babies.,Fly an army plane at an army base when you are a pilot,It's bad to hate babies.,fly an army plane at a army base where [PERSON]'s role is 'pilot',societal,expected,29
It's understandable if you don't want rodents in the house.,Give a speech at a political rally when you are a speaker,It's understandable if you don't want rodents in the house.,give a speech at a political rally where [PERSON]'s role is 'speaker',societal,expected,30
If your sister is not able to take care of her kids on her own and you no longer want to do it you need to find someone else to take care of them.,Cry at a beach while playing frisbee,If your sister is not able to take care of her kids on her own and you no longer want to do it you need to find someone else to take care of them.,cry at a beach where [PERSON]'s behavior is 'play frisbee',personal,taboo,31
It is gross to sleep with your stepsisters best friend.,Bite your nails in an apartment when you are not nervous,It is gross to sleep with your stepsisters best friend.,biting your nails at a apartment where [PERSON]'s condition or state is not 'nervous',personal,taboo,32
It is loving to allow your wife to wear whatever she wants in the bedroom.,Cry in a hotel lobby while asking for a refund,It is loving to allow your wife to wear whatever she wants in the bedroom.,cry at a hotel lobby where [PERSON]'s behavior is 'ask for a refund',personal,taboo,33
It's good to practice law with your parent.,Stare off into space at a bar when you are the manager,It's good to practice law with your parent.,staring off into space at a bar where [PERSON]'s role is 'manager',personal,taboo,34
You should always try to mediate your parent's arguments.,Go on rides at a balloon festival while dismissing the event as childish,You should always try to mediate your parent's arguments.,go on rides at a balloon festival where [PERSON]'s behavior is 'dismiss the event as childish',personal,taboo,35
It's best not to share personal feeling with strangers.,Sing in a newsroom while asking someone out on a date,Its best not to share personal feeling with strangers.,sing at a newsroom where [PERSON]'s behavior is 'ask someone out on a date',personal,normal,36
It is wrong to purposely try to be like your best friend.,Talk about mental health at a campsite while arguing with your spouse,It is wrong to purposely try to be like your best friend.,talk about mental health at a campsite where [PERSON]'s behavior is 'argue with your spouse',personal,normal,37
You shouldn't be friends with your ex if they still have feelings for you.,Cry in a hotel lobby while bringing a pet,You shouldn't be friends with your ex if they still have feelings for you.,cry at a hotel lobby where [PERSON]'s behavior is 'bring a pet',personal,normal,38
You shouldn't expect your friend to pay you back for something they did to your things.,Canoe at a campsite while talking about your ex,You shouldn't expect your friend to pay you back for something they did to your things.,canoeing at a campsite where [PERSON]'s behavior is 'talk about your ex',personal,normal,39
It's allowed to plan on some day being your own boss.,Compare your experiences to others in an alcoholics ward when you are a doctor,It's allowed to plan on some day being your own boss.,compare your own experiences to others in the room at a alcoholics ward where [PERSON]'s role is 'doctor',personal,normal,40
It's understandable if you're suspicious when a widower in your family gets together with a widower soon after their spouse's died.,Talk to yourself in a mental institution when you are a patient,It's understandable if you're suspicious when a widower in your family gets together with a widower soon after their spouse's died.,talk to yourself at a mental institution where [PERSON]'s role is 'patient',personal,expected,41
You should try to understand the perspective of others.,Cry at a bowling alley while being broken up with,You should try to understand the perspective of others.,cry at a bowling alley where some OTHER PERSON is also doing bowling alley behavior is 'break up with you',personal,expected,42