StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,1_initial,1_post,1_qual,2_initial,2_post,2_qual,3_initial,3_post,3_qual,4_initial,4_post,4_qual,5_initial,5_post,5_qual,6_initial,6_post,6_qual,7_initial,7_post,7_qual,8_initial,8_post,8_qual,9_initial,9_post,9_qual,10_initial,10_post,10_qual,11_initial,11_post,11_qual,12_initial,12_post,12_qual,13_initial,13_post,13_qual,14_initial,14_post,14_qual,15_initial,15_post,15_qual,16_initial,16_post,16_qual,17_initial,17_post,17_qual,18_initial,18_post,18_qual,19_initial,19_post,19_qual,20_initial,20_post,20_qual,21_initial,21_post,21_qual,22_initial,22_post,22_qual,23_initial,23_post,23_qual,24_initial,24_post,24_qual,25_initial,25_post,25_qual,26_initial,26_post,26_qual,27_initial,27_post,27_qual,28_initial,28_post,28_qual,29_initial,29_post,29_qual,30_initial,30_post,30_qual,educ,income,gender,age,empstat
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"run - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","run - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",run - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"run - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","run - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",run - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"run - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","run - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",run - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"run - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","run - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",run - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"run - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","run - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",run - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"talk - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","talk - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",talk - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"talk - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","talk - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",talk - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"talk - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","talk - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",talk - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"talk - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","talk - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",talk - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"talk - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","talk - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",talk - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"write - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","write - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",write - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"write - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","write - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",write - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"write - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","write - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",write - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"write - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","write - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",write - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"write - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","write - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",write - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"eat - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","eat - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",eat - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"eat - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","eat - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",eat - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"eat - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","eat - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",eat - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"eat - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","eat - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",eat - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"eat - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","eat - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",eat - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"read - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","read - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",read - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"read - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","read - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",read - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"read - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","read - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",read - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"read - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","read - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",read - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"read - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","read - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",read - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"jump - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","jump - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",jump - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"jump - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","jump - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",jump - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"jump - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","jump - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",jump - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"jump - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","jump - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",jump - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,"jump - Trial [CurrentLoopNumber] of [TotalLoops] 


Please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]
Situation: [Field-2]","jump - Trial [CurrentLoopNumber] of [TotalLoops]


Now consider a chatbot's explanation:

Chatbot Appropriateness Score: [Field-4]

Chatbot Explanation: [Field-6]

***

After reading this explanation---where a chatbot rated the appropriateness as a  [Field-4]---please answer how appropriate it is to perform the following action in the following situation. 

Action: [Field-1]

Situation: [Field-2]",jump - [OPTIONAL] Give your thoughts on the chatbot's reasoning.,What is the highest level of education you have completed?,What was your total household income before taxes during the past 12 months?,What gender do you identify as?,How old are you?,What best describes your employment status over the last three months?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""1_QID3""}","{""ImportId"":""1_QID4""}","{""ImportId"":""1_QID5_TEXT""}","{""ImportId"":""2_QID3""}","{""ImportId"":""2_QID4""}","{""ImportId"":""2_QID5_TEXT""}","{""ImportId"":""3_QID3""}","{""ImportId"":""3_QID4""}","{""ImportId"":""3_QID5_TEXT""}","{""ImportId"":""4_QID3""}","{""ImportId"":""4_QID4""}","{""ImportId"":""4_QID5_TEXT""}","{""ImportId"":""5_QID3""}","{""ImportId"":""5_QID4""}","{""ImportId"":""5_QID5_TEXT""}","{""ImportId"":""6_QID3""}","{""ImportId"":""6_QID4""}","{""ImportId"":""6_QID5_TEXT""}","{""ImportId"":""7_QID3""}","{""ImportId"":""7_QID4""}","{""ImportId"":""7_QID5_TEXT""}","{""ImportId"":""8_QID3""}","{""ImportId"":""8_QID4""}","{""ImportId"":""8_QID5_TEXT""}","{""ImportId"":""9_QID3""}","{""ImportId"":""9_QID4""}","{""ImportId"":""9_QID5_TEXT""}","{""ImportId"":""10_QID3""}","{""ImportId"":""10_QID4""}","{""ImportId"":""10_QID5_TEXT""}","{""ImportId"":""11_QID3""}","{""ImportId"":""11_QID4""}","{""ImportId"":""11_QID5_TEXT""}","{""ImportId"":""12_QID3""}","{""ImportId"":""12_QID4""}","{""ImportId"":""12_QID5_TEXT""}","{""ImportId"":""13_QID3""}","{""ImportId"":""13_QID4""}","{""ImportId"":""13_QID5_TEXT""}","{""ImportId"":""14_QID3""}","{""ImportId"":""14_QID4""}","{""ImportId"":""14_QID5_TEXT""}","{""ImportId"":""15_QID3""}","{""ImportId"":""15_QID4""}","{""ImportId"":""15_QID5_TEXT""}","{""ImportId"":""16_QID3""}","{""ImportId"":""16_QID4""}","{""ImportId"":""16_QID5_TEXT""}","{""ImportId"":""17_QID3""}","{""ImportId"":""17_QID4""}","{""ImportId"":""17_QID5_TEXT""}","{""ImportId"":""18_QID3""}","{""ImportId"":""18_QID4""}","{""ImportId"":""18_QID5_TEXT""}","{""ImportId"":""19_QID3""}","{""ImportId"":""19_QID4""}","{""ImportId"":""19_QID5_TEXT""}","{""ImportId"":""20_QID3""}","{""ImportId"":""20_QID4""}","{""ImportId"":""20_QID5_TEXT""}","{""ImportId"":""21_QID3""}","{""ImportId"":""21_QID4""}","{""ImportId"":""21_QID5_TEXT""}","{""ImportId"":""22_QID3""}","{""ImportId"":""22_QID4""}","{""ImportId"":""22_QID5_TEXT""}","{""ImportId"":""23_QID3""}","{""ImportId"":""23_QID4""}","{""ImportId"":""23_QID5_TEXT""}","{""ImportId"":""24_QID3""}","{""ImportId"":""24_QID4""}","{""ImportId"":""24_QID5_TEXT""}","{""ImportId"":""25_QID3""}","{""ImportId"":""25_QID4""}","{""ImportId"":""25_QID5_TEXT""}","{""ImportId"":""26_QID3""}","{""ImportId"":""26_QID4""}","{""ImportId"":""26_QID5_TEXT""}","{""ImportId"":""27_QID3""}","{""ImportId"":""27_QID4""}","{""ImportId"":""27_QID5_TEXT""}","{""ImportId"":""28_QID3""}","{""ImportId"":""28_QID4""}","{""ImportId"":""28_QID5_TEXT""}","{""ImportId"":""29_QID3""}","{""ImportId"":""29_QID4""}","{""ImportId"":""29_QID5_TEXT""}","{""ImportId"":""30_QID3""}","{""ImportId"":""30_QID4""}","{""ImportId"":""30_QID5_TEXT""}","{""ImportId"":""QID1719732151""}","{""ImportId"":""QID1719732152""}","{""ImportId"":""QID1719732153""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15""}"
6/6/25 20:08,6/6/25 20:11,IP Address,102.212.236.19,17,191,FALSE,,FS_29MU8Y4sFVSWcYF,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/25 21:12,6/6/25 21:13,IP Address,97.125.63.223,67,102,FALSE,,FS_5CJ3CJKbCudjcPc,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,9,10 (highly appropriate),,,,,,,,9,10 (highly appropriate),,10 (highly appropriate),10 (highly appropriate),,10 (highly appropriate),10 (highly appropriate),,,,,,,,,,,,,,,,,,,,10 (highly appropriate),10 (highly appropriate),,,,,,,,,,,10 (highly appropriate),10 (highly appropriate),,,,,,,,,,,,,,10 (highly appropriate),10 (highly appropriate),,,,,,,,High school diploma or GED,"$100,000-$149,999",Male,,
6/6/25 21:16,6/6/25 21:17,IP Address,102.0.5.78,17,24,FALSE,,FS_22r3O7gx5s3T0fU,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/25 21:31,6/6/25 21:39,IP Address,208.85.10.250,67,499,FALSE,,FS_3amBeHM8h4M7fR1,,,,,,,anonymous,EN,,,,,,,,,,,,,2,2,Spot on,,,,,,,,,,,,,,,,3,3,Spot on. The motiom and all wont really allow,,,,4,4,"I think 1 is too absurd, 4 is ideal for that situation ",6,2,I think it's spot on. ,,,,,,,,,,,,,,,,,,,8,6,Some aren't bothered by the motion and unpredictable stops,,,,,,,,,,,,,1 (highly inappropriate),2,Highly inappropriate ,2,3,,,,,,,,,,,"Some college, but no degree","$25,000-$49,999",Male,,
6/6/25 21:39,6/6/25 21:39,IP Address,146.70.202.110,25,19,FALSE,,FS_5QSPhIi2EBpcUHY,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 (highly appropriate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/25 23:55,6/6/25 23:58,IP Address,104.234.227.50,67,151,FALSE,,FS_3BkUUAJpXLjO06e,,,,,,,anonymous,EN,6,8,,,,,5,8,,,,,,,,,,,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,4,8,,,,,7,3,,,,,,,,,,,,,,,,,3,8,,,,,,,,Bachelor’s degree,"Less than $25,000",Female,,
6/7/25 0:13,6/7/25 0:13,IP Address,38.150.67.85,25,25,FALSE,,FS_3nQ8rdncpdTgd9c,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 (highly inappropriate),,,,,,,,,,,,,,,,,,,,,,,,,
6/7/25 0:33,6/7/25 0:34,IP Address,38.90.18.79,17,47,FALSE,,FS_3QAtrkcAlys8tcW,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/25 2:33,6/7/25 2:35,IP Address,46.202.225.89,17,99,FALSE,,FS_5tBsH9Xw3fWVvCF,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 (highly appropriate),8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/25 3:48,6/7/25 3:49,IP Address,195.179.201.26,17,81,FALSE,,FS_6jebKgZMXIPtQjR,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/25 7:07,6/7/25 7:13,IP Address,70.237.101.236,67,359,FALSE,,FS_6fn0xLAi1qEdKnL,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,5,6,appropriate with low voices,,,,,,,9,5,It depends with someone's mood some go to raise their energy ,,,,,,,3,3,writing should occur unless their are planning something ,,,,,,,,,,,,,10 (highly appropriate),10 (highly appropriate),It is appropriate ,9,9,very appropriate to compliment the cinema,5,5,It is okay to have a meal in bar,,,,,,,,,,,,,,,,,,,,,,,,,1 (highly inappropriate),2,No i think chilling is better ,,,,,,,"Some college, but no degree","$75,000-$99,999",Male,,