rot,action,situation,ssl_domain,agreement_condition
It is okay to embarrass a kid in good fun without taking it overboard.,Embarrassing a kid in good fun without taking it overboard.,Daughter Cringes When Mom Does Happy Dance in Public,moral,low_agreement
It's okay if you are too sad to take on the responsibility of re-homing your pets.,Being too sad to take on the responsibility of re-homing your pets.,Rehoming my wife's reptiles,moral,low_agreement
"It's irresponsible to ""game"" online software.","""Gaming"" online software.",I add one idle bot to every kahoot I join to prolong the kahoot.,moral,low_agreement
It is okay to call someone weird if it is in a joking manner with a friend.,Calling someone weird if it is in a joking manner with a friend.,Calling him weird,moral,medium_agreement
It's acceptable to shun someone who hates people in your group.,Shunning someone who hates people in your group.,I hate myself and everyone else.,moral,medium_agreement
It's good to do your own thing on your own time when you have a relationship so you don't smother the other person.,Doing your own thing on your own time when you have a relationship so you don't smother the other person.,Treating my boyfriend gaming with his buddies the same as when I hang out with my friends,moral,medium_agreement
It is wrong to take advantage of someone who isn't thinking clearly.,Taking advantage of someone who isn't thinking clearly.,"Checking up on a drunk girl, making sure she didn't go home with a stranger",moral,high_agreement
It's frowned upon to date a coworker.,Dating a coworker.,Dating a girl who is also my subordinate and I am not sure that I want to continue with her.,moral,high_agreement
Teachers are supposed to support students.,Supporting students.,My chorus teacher said she had lost all respect for me.,moral,high_agreement
It's fine to not let your girlfriend hang out with your friends if she does something that disrespects your friends.,Not letting your girlfriend hang out with your friends if she does something that disrespects your friends.,Not wanting my girlfriend to hang out with my friends,societal-conventional,low_agreement
It's rude to commandeer control of your friendships without ensuring that this is consensual between both parties.,Commandeering control of your friendships without ensuring that this is consensual between both parties.,Proactive Woman Takes Charge Of Friendships,societal-conventional,low_agreement
You shouldn't ignore someone who likes you.,Ignoring someone who likes you.,Ghosting a man who's been into me for about two years,societal-conventional,low_agreement
It's wrong to vote against your partner.,Voting against your partner.,Wife's Reversal Leaves Man All Alone in Board Vote,societal-conventional,medium_agreement
"Roasting someone is meant to be fun and lighthearted, not hurtful.","Roasting someone in a fun and lighthearted way, not hurtfully.",Roasting my friend way too hard,societal-conventional,medium_agreement
You can't expect people to always look into your eyes when you talk to them.,Looking into your eyes when you talk to them.,I don't look into people's eyes.,societal-conventional,medium_agreement
It is socially unacceptable to answer the door when not fully clothed.,Answering the door when not fully clothed.,Answering the door for the pizza guy in my boxers,societal-conventional,high_agreement
It is good to congratulate your competitor whenever they win something.,Congratulating your competitor whenever they win something.,Feeling terrible for not winning an award,societal-conventional,high_agreement
It's expected that you have to go through an application process to adopt someone.,Going through an application process to adopt someone.,Wanting to adopt my niece,societal-conventional,high_agreement
"If your sister is not able to take care of her kids on her own and you no longer want to do it, you need to find someone else to take care of them.",Finding someone to take care of your sister's kids when she is unable to take care of them and you no longer want to do it.,Not wanting to take care of my sister's kids,personal-psychological,low_agreement
It is gross to sleep with your stepsister's best friend.,Sleeping with your stepsister's best friend.,Sleeping with my stepsister's friend,personal-psychological,low_agreement
It is loving to allow your wife to wear whatever she wants in the bedroom.,Allowing your wife to wear whatever she wants in the bedroom.,Wanting my wife to wear lingerie in the bedroom,personal-psychological,low_agreement
It's best not to share personal feelings with strangers.,Sharing personal feelings with strangers.,Talking about my gender feelings,personal-psychological,medium_agreement
It is wrong to purposely try to be like your best friend.,Purposely trying to be like your best friend.,I am a shadow of my best friend,personal-psychological,medium_agreement
You shouldn't be friends with your ex if they still have feelings for you.,Being with your ex when they still have feelings for you.,I chat with my ex every few months and could probably still hit it.,personal-psychological,medium_agreement
It's understandable if you're suspicious when a widower in your family gets together with another widower soon after their spouses died.,Being suspicious when a widower in your family gets together with another widower soon after their spouses died.,"Family is torn apart when widow, widower get together",personal-psychological,high_agreement
You should try to understand the perspective of others.,Understanding the perspective of others.,Telling my sister she shouldn't be angry about waiting,personal-psychological,high_agreement
You should not sabotage your personal relationships.,Sabotaging your personal relationships.,"The love of my life ghosted me, and it’s my fault",personal-psychological,high_agreement